"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"1295",1119034,1,1,54,6,2,100,11,20,1,1,20,1,1,0,1,1,1,0,0,0.60000002,10,0,1,1,NA,1,209,42
"1296",1119035,1,0,43,4,0,100,30,10,0,1,50,0,1,0,1,1,0,1,0,0.40000001,10,0,0,0,NA,1,209,42
"1297",1119036,1,0,34,4,2,20,10,60,1,1,40,0,1,0,0,0,0,0,1,0.60000002,7,0.39999998,1,1,1,1,209,42
"1298",1119037,1,1,54,2,0,100,5.3,NA,0,0,30,1,1,0,1,0,0,0,1,0.60000002,10,0.39999998,0,0,NA,0,209,42
"1299",1119106,1,0,46,1,0,85,6,NA,1,0,20,1,0,1,0,0,0,0,1,0,7,0,0,0,0,0,212,42
"1300",1119111,1,1,45,4,1,40,7,NA,0,0,50,1,1,1,1,0,1,0,0,0.60000002,11,0.39999998,1,0,NA,0,212,42
"1301",1119112,1,1,36,5,2,40,26,10,1,0,20,1,1,1,0,1,0,0,1,0.60000002,7,0,1,1,0,1,212,42
"1302",1119114,1,1,60,6,2,60,10,NA,0,0,50,1,1,1,1,0,0,1,0,0.80000001,11,0,1,1,NA,NA,212,42
"1303",1119117,1,0,75,2,1,90,2,NA,1,1,0,1,1,1,0,1,0,0,1,0.2,7,0,1,0,1,0,212,42
"1304",1119119,1,0,49,3,1,30,5,NA,0,0,30,1,1,1,1,0,1,0,0,0.60000002,11,0.39999998,1,0,NA,0,212,42
"1305",1119120,1,0,53,3,0,85,8,NA,0,0,20,1,1,1,0,1,0,0,1,0,7,0,0,0,0,0,212,42
"1306",1119122,1,0,48,4,2,70,15,NA,0,0,30,1,1,1,0,0,0,0,1,0,7,0.2,1,1,NA,NA,212,42
"1307",1119125,1,1,81,5,1,100,6,NA,1,1,20,1,1,1,1,0,0,1,0,0,11,0,1,0,NA,0,212,42
"1308",1119126,1,0,35,4,2,30,3.72,NA,0,0,0,1,1,1,1,0,0,0,1,0.60000002,11,0.19999999,1,1,NA,0,212,42
"1309",1119127,1,1,35,4,1,80,18,NA,1,1,40,1,1,1,1,0,0,1,0,0.60000002,11,0.60000002,1,0,NA,NA,212,42
"1310",1119130,1,0,58,8,0,20,4,5,0,0,50,1,1,1,0,1,0,0,1,0,7,0,0,0,0,1,212,42
"1311",1119134,1,0,39,4,1,70,50,10,1,0,20,0,1,1,0,0,0,0,1,0.40000001,7,0,1,0,0,1,212,42
"1312",1119137,1,1,50,4,1,90,18,10,0,0,10,1,1,1,1,1,0,0,1,1,11,0,1,0,NA,1,212,42
"1313",1119145,1,0,57,5,2,30,10,NA,0,0,20,1,1,1,0,1,0,0,1,0.60000002,7,0,1,1,0,0,212,42
"1314",1119146,1,0,45,5,2,90,17,NA,0,0,50,0,1,1,0,0,0,0,1,0,7,0,1,1,0,0,212,42
"1315",1119149,1,0,65,9,0,70,3,NA,1,0,40,1,1,1,0,0,0,0,1,0.2,7,0,0,0,0,0,212,42
"1316",1119150,1,0,43,5,1,40,8,20,0,0,50,1,1,1,1,1,0,1,0,0.40000001,11,0,1,0,NA,1,212,42
"1317",1119157,1,0,36,4,1,90,22,20,0,1,0,1,1,1,0,0,0,0,1,0.2,7,0.80000001,1,0,0,1,212,42
"1318",1119158,1,0,38,4,1,80,3.6,20,0,0,30,1,1,1,0,1,0,0,1,0.80000001,7,0,1,0,NA,1,212,42
"1319",1119162,1,0,43,6,NA,40,7,NA,1,1,5,1,1,1,0,1,0,0,1,0.60000002,7,0,NA,0,0,0,212,42
"1320",1119163,1,0,67,2,1,40,5.4,NA,0,0,40,1,1,1,1,1,1,0,0,0.40000001,11,0.39999998,1,0,NA,0,212,42
"1321",1119165,1,0,69,5,0,50,4,NA,0,1,40,1,1,1,1,0,1,0,0,0,11,0,0,0,NA,0,212,42
"1322",1119166,1,0,55,6,1,70,21,NA,0,0,50,1,1,1,1,0,1,0,0,0.2,11,0,1,0,NA,1,212,42
"1323",1119167,1,0,47,5,2,15,0.3,NA,0,1,20,1,1,1,1,0,0,0,1,0.60000002,11,0,1,1,NA,0,212,42
"1324",1119171,1,0,72,6,0,80,2,NA,0,0,30,1,1,1,0,0,0,0,1,0.2,7,0,0,0,0,0,212,42
"1325",1119172,1,1,43,4,3,100,40,NA,0,1,0,1,1,1,1,1,0,1,0,0.60000002,11,1,1,1,NA,1,212,42
"1326",1119173,1,0,58,8,1,100,30,NA,0,0,50,1,1,1,1,0,0,0,1,0.2,11,0,1,0,NA,1,212,42
"1327",1119177,1,1,75,2,1,30,4,NA,1,1,40,1,1,1,1,1,0,0,1,0.60000002,11,0.60000002,1,0,NA,NA,212,42
"1328",1119183,1,1,51,7,0,100,20,30,0,0,50,1,1,1,0,0,0,0,1,0.2,7,0,0,0,1,1,212,42
"1329",1119185,1,0,60,7,0,30,9,NA,0,1,10,1,1,1,1,1,0,0,1,0.2,11,0.19999999,0,0,NA,0,212,42
"1330",2221005,2,1,27,6,2,80,12,20,1,1,30,1,1,1,1,1,0,0,1,0.2,20,1,1,1,NA,1,180,36
"1331",2221008,2,1,43,3,1,80,14,NA,0,1,20,1,0,1,1,1,1,0,0,0.2,20,0.39999998,1,0,NA,0,180,36
"1332",2221011,2,1,51,6,2,95,15,30,1,1,50,1,1,1,0,0,0,0,1,0.2,18,0,1,1,0,1,180,36
"1333",2221012,2,1,53,8,2,60,13,20,1,1,40,1,1,1,0,0,0,0,1,0.60000002,18,0,1,1,0,1,180,36
"1334",2221013,2,1,58,6,2,60,12,10,1,1,20,0,1,1,0,1,0,0,1,1,18,0,1,1,1,1,180,36
"1335",2221014,2,1,37,4,2,85,8,55,0,1,25,1,1,1,0,1,0,0,1,0.60000002,18,0.39999998,1,1,0,1,180,36
"1336",2221018,2,1,49,7,3,100,10,10,0,0,30,1,1,1,0,0,0,0,1,0.2,18,0.60000002,1,1,0,1,180,36
"1337",2221019,2,1,47,5,2,60,14,NA,1,1,60,1,1,1,0,1,0,0,1,0.60000002,18,0,1,1,0,0,180,36
"1338",2221020,2,1,53,3,3,100,23,50,1,1,70,1,1,1,0,0,0,0,1,0.80000001,18,0.19999999,1,1,1,1,180,36
"1339",2221025,2,1,40,5,2,100,16,10,0,0,40,1,1,1,1,0,0,0,1,0.2,20,0,1,1,NA,1,180,36
"1340",2221026,2,1,57,5,2,100,4,30,1,1,20,1,1,1,1,0,1,0,0,1,20,0.19999999,1,1,NA,1,180,36
"1341",2221027,2,0,57,6,1,40,14,30,1,1,10,1,1,1,1,1,0,0,1,0.2,20,0,1,0,NA,1,180,36
"1342",2221028,2,1,46,2,2,80,10,10,1,1,50,0,1,1,1,1,1,0,0,0.60000002,20,0,1,1,NA,1,180,36
