"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"181",1112101,1,0,36,4,1,40,14,NA,0,1,20,1,1,1,1,1,1,0,0,0.2,20,0,1,0,NA,0,111,22
"182",1112102,1,0,33,3,0,60,2,NA,0,0,0,0,1,1,1,0,1,0,0,0.2,20,0.60000002,0,0,NA,0,111,22
"183",1112103,1,0,47,2,0,90,10,20,0,1,20,0,1,1,0,1,0,0,1,0.2,20,0.2,0,0,0,1,111,22
"184",1112104,1,0,37,4,1,60,5,NA,0,0,50,1,1,1,1,0,0,0,1,0.2,20,0.19999999,1,0,NA,0,111,22
"185",1112106,1,1,44,4,1,75,13,NA,0,1,40,1,1,1,1,0,0,1,0,0.80000001,20,0,1,0,NA,0,111,22
"186",1112108,1,0,31,4,2,45,5,NA,0,0,50,1,1,1,1,0,0,0,1,0.2,20,0,1,1,NA,0,111,22
"187",1112110,1,1,58,3,1,100,14,20,1,0,20,1,1,1,1,1,0,1,0,0.60000002,20,0,1,0,NA,1,111,22
"188",1112115,1,0,39,2,1,20,2.3,30,0,0,30,1,1,1,0,0,0,0,1,0.2,20,0,1,0,1,1,111,22
"189",1112116,1,1,62,7,1,40,6,NA,1,1,20,1,1,1,0,1,0,0,1,0.40000001,20,0.80000001,1,0,0,0,111,22
"190",1112118,1,0,45,4,1,80,10,10,0,0,50,1,1,1,0,1,0,0,1,0.80000001,20,0,1,0,0,1,111,22
"191",1112124,1,0,55,6,0,95,7,NA,0,1,40,1,1,1,0,0,0,0,1,0.2,20,0,0,0,0,0,111,22
"192",1112130,1,1,54,4,1,90,13,5,0,1,20,1,1,1,1,1,0,1,0,0.2,20,0,1,0,NA,1,111,22
"193",1112133,1,0,66,10,1,90,5,NA,0,0,30,1,1,1,1,0,0,1,0,1,20,0,1,0,NA,0,111,22
"194",1112134,1,0,60,6,0,90,8,20,1,1,20,1,1,1,0,1,0,0,1,0.2,20,0,0,0,1,1,111,22
